genres,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count
['lo-fi beats'],90sFlav,0.952,0.748,126250,0.265,0.917,0.0866,-12.074,0.229,77.009,0.14,70,8,0,2
"['emo rap', 'melodic rap', 'sad rap']",916frosty,0.637,0.597,248803,0.559,0,0.137,-7.219,0.0835,145.826,0.268,66,1,0,2
"['dark trap', 'emo rap', 'glitchcore', 'sad rap']",93FEETOFSMOKE,0.139,0.816,148140,0.577,0,0.0827,-5.998,0.41,171.028,0.459,66,1,1,1
['minneapolis sound'],94 East,0.179,0.744,340440,0.797,0.0103,0.139,-8.867,0.0377,94.801,0.954,31,11,0,1
"['boy band', 'dance pop']",98º,0.34703,0.61025,250582.6,0.581,3.55E-07,0.113165,-8.21425,0.041735,101.6388,0.42775,49,10,1,20
"['indie hip hop', 'vermont indie']",99 Neighbors,0.545,0.817,231602,0.487,0,0.336,-6.585,0.474,70.949,0.65,62,0,1,1
[],99 Percent,0.0729,0.786,157165,0.854,1.63E-06,0.179,-4.247,0.0523,105.078,0.687,59,2,1,2
"['oi', 'pub rock', 'punk']",999,0.030186667,0.596,217075.3333,0.631,0.282667583,0.1723,-9.655333333,0.0489,132.0906667,0.514666667,33.66666667,2,1,6
"['florida rap', 'vapor trap']",9lokknine,0.033133333,0.864333333,181220,0.544,0,0.1746,-8.401333333,0.272666667,90.15666667,0.521,67.66666667,0,0,6
['emo rap'],9tails,0.404,0.711,217182,0.545,0,0.122,-6.81,0.0322,108.02,0.345,66,11,1,2
"['alternative hip hop', 'hip hop', 'north carolina hip hop', 'underground hip hop']",9th Wonder,0.232,0.685,259060,0.518,0.00075566,0.13955,-8.679,0.228,90.4195,0.5295,51,7,1,4
"['bubblegum pop', 'chicano punk', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']",? & The Mysterians,0.218107778,0.632333333,146582.3333,0.670888889,0.174584277,0.151988889,-8.077222222,0.042188889,111.3006667,0.805888889,25.11111111,2,1,18
['philly rap'],?uestlove,0.198,0.885,307120,0.598,0,0.384,-6.663,0.372,95.402,0.779,39,6,1,2
"['melodic rap', 'pop rap', 'rap', 'trap']",A Boogie Wit da Hoodie,0.2533864,0.730093333,200451.88,0.62684,1.62E-06,0.164902667,-7.011053333,0.229846667,118.7338667,0.500733333,66.64,5,0,75
"['art rock', 'chamber psych', 'dance rock', 'dance-punk', 'experimental', 'new wave', 'no wave', 'post-punk', 'sophisti-pop', 'uk post-punk']",A Certain Ratio,0.132125,0.695,344633,0.933,0.4573,0.07475,-7.848,0.0631,125.9155,0.582,27.5,2,1,4
